File Pattern,Project URL
ae2stuff,https://minecraft.curseforge.com/projects/ae2-stuff
AmbientSounds,https://minecraft.curseforge.com/projects/ambientsounds
AppleCore,https://minecraft.curseforge.com/projects/applecore
AppleSkin,https://minecraft.curseforge.com/projects/appleskin
appliedenergistics2,https://minecraft.curseforge.com/projects/applied-energistics-2
autoplant,https://minecraft.curseforge.com/projects/autoplant
backpacks,https://minecraft.curseforge.com/projects/backpacks
bdlib,https://minecraft.curseforge.com/projects/bdlib
BetterFps,https://minecraft.curseforge.com/projects/betterfps
BiblioCraft,https://minecraft.curseforge.com/projects/bibliocraft
BiomesOPlenty,https://minecraft.curseforge.com/projects/biomes-o-plenty
buildcraft,https://minecraft.curseforge.com/projects/buildcraft
Carpenter's Blocks,https://www.carpentersblocks.com
cfm,https://mrcrayfish.com/mods?id=cfm
Chameleon,https://minecraft.curseforge.com/projects/chameleon
Chisel,https://minecraft.curseforge.com/projects/chisel
chiselsandbits,https://minecraft.curseforge.com/projects/chisels-bits
CodeChickenLib,https://minecraft.curseforge.com/projects/codechicken-lib-1-8
CoFHCore,https://minecraft.curseforge.com/projects/cofhcore
CoFHWorld,https://minecraft.curseforge.com/projects/cofh-world
composter,https://minecraft.curseforge.com/projects/composter
CTM,https://minecraft.curseforge.com/projects/ctm
CustomMobSpawner,https://www.mocreatures.org
CustomNPCs,https://minecraft.curseforge.com/projects/custom-npcs
Decocraft,https://minecraft.curseforge.com/projects/decocraft2
DrZharks MoCreatures Mod,https://www.mocreatures.org
EnderCore,https://minecraft.curseforge.com/projects/endercore
EnderIO,https://minecraft.curseforge.com/projects/ender-io
ExtraCells,https://minecraft.curseforge.com/projects/extracells2
extrautils2,https://minecraft.curseforge.com/projects/extra-utilities
ExtremeReactors,https://minecraft.curseforge.com/projects/extreme-reactors
FloodLights,https://minecraft.curseforge.com/projects/floodlights
forestry,https://minecraft.curseforge.com/projects/forestry
Forgelin,https://github.com/shadowfacts/Forgelin
HammerCore,https://minecraft.curseforge.com/projects/hammer-lib
HungerOverhaul,https://minecraft.curseforge.com/projects/hunger-overhaul
Hwyla,https://minecraft.curseforge.com/projects/hwyla
ImmersiveEngineering,https://minecraft.curseforge.com/projects/immersive-engineering
incontrol,https://minecraft.curseforge.com/projects/in-control
industrialforegoing,https://minecraft.curseforge.com/projects/industrial-foregoing
InventoryTweaks,https://minecraft.curseforge.com/projects/inventory-tweaks
jei,https://minecraft.curseforge.com/projects/jei
journeymap,https://minecraft.curseforge.com/projects/journeymap
JustEnoughEnergistics,https://minecraft.curseforge.com/projects/just-enough-energistics-jee
liteloader,https://www.liteloader.com
Mantle,https://minecraft.curseforge.com/projects/mantle
NoMoreRecipeConflict,https://minecraft.curseforge.com/projects/stimmedcow-nomorerecipeconflict
NotEnoughItems,https://minecraft.curseforge.com/projects/not-enough-items-1-8
OpenBlocks,https://minecraft.curseforge.com/projects/openblocks
OpenModsLib,https://minecraft.curseforge.com/projects/openmodslib
OptiFine,https://www.optifine.net
oreberries,https://minecraft.curseforge.com/projects/oreberries
OreDictionaryConverter,https://minecraft.curseforge.com/projects/oredictionaryconverter
Pam's+HarvestCraft,https://minecraft.curseforge.com/projects/pams-harvestcraft
Placebo,https://minecraft.curseforge.com/projects/placebo
Plants,https://minecraft.curseforge.com/projects/plants
PTRLib,https://minecraft.curseforge.com/projects/ptrlib
RedstoneFlux,https://minecraft.curseforge.com/projects/redstone-flux
secretroomsmod,https://minecraft.curseforge.com/projects/secretroomsmod
signpost,https://minecraft.curseforge.com/projects/signpost
StorageDrawers,https://minecraft.curseforge.com/projects/storage-drawers
StorageDrawersExtras,https://minecraft.curseforge.com/projects/storage-drawers-extras
TConstruct,https://minecraft.curseforge.com/projects/tinkers-construct
Terra,
tesla-core-lib,https://minecraft.curseforge.com/projects/tesla-core-lib
ThermalDynamics,https://minecraft.curseforge.com/projects/thermal-dynamics
ThermalExpansion,https://minecraft.curseforge.com/projects/thermalexpansion
ThermalFoundation,https://minecraft.curseforge.com/projects/thermal-foundation
TinkerToolLeveling,https://minecraft.curseforge.com/projects/tinkers-tool-leveling
UndergroundBiomesConstructs,https://minecraft.curseforge.com/projects/underground-biomes
Wawla,https://minecraft.curseforge.com/projects/wawla-what-are-we-looking-at
wumpleutil,https://minecraft.curseforge.com/projects/wumpleutil
zerocore,https://minecraft.curseforge.com/projects/zerocore
